id,@id,electrified,frequency,gauge,operator,railway,railway:block,tracks,usage,voltage,@timestamp,@version,@changeset,@user,@uid,bridge,layer,maxspeed,name,tunnel,year_of_construction,passenger_lines,railway:track_ref,service,railway:traffic_mode,covered,railway:ref,description,ele,light_rail,local_ref,network,public_transport,train,uic_name,uic_ref,ref,old_name,crossing:barrier,crossing:light,crossing:bell,supervised,railway:signal:main:form,crossing,horse,start_date
way/326498777,way/326498777,contact_line,"0","1000",AVA,narrow_gauge,"306","1",branch,"750",2019/07/09 17:05:40,"5","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326498778,way/326498778,contact_line,"0","1000",AVA,narrow_gauge,,"1",,"750",2019/07/09 17:05:40,"4","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326499558,way/326499558,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/326499566,way/326499566,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326500388,way/326500388,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,"80",,,,"2","7",,,,,,,,,,,,,,,,,,,,,,,
way/326500389,way/326500389,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"8","72064035",sovereign_ch,"5755216",,,"80",,,,"2","8",,,,,,,,,,,,,,,,,,,,,,,
way/326502599,way/326502599,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,
way/326503420,way/326503420,contact_line,"0","1000",AVA,narrow_gauge,"109",,branch,"750",2019/07/09 17:05:40,"9","72064035",sovereign_ch,"5755216",,,"80",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326504112,way/326504112,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326512001,way/326512001,contact_line,"0","1000",AVA,narrow_gauge,U2,,branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,,,,,,"2",,,,,,,,,,,,,,,,,,,,,,,
way/326512002,way/326512002,contact_line,"0","1000",AAR,narrow_gauge,U1,"1",,"750",2019/04/14 12:54:08,"5","69201543",Jonathan Masur,"2965963",,,,,,,,"1",siding,,,,,,,,,,,,,,,,,,,,,,
way/326512004,way/326512004,contact_line,"0","1000",AVA,narrow_gauge,U3,"1",branch,"750",2019/07/09 17:05:40,"4","72064035",sovereign_ch,"5755216",,,,,,,,"3",,,,,,,,,,,,,,,,,,,,,,,
way/326523384,way/326523384,contact_line,"0","1000",AVA,narrow_gauge,"1","1",branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,"45",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326523385,way/326523385,contact_line,"0","1000",AVA,narrow_gauge,"112",,branch,"750",2019/07/09 17:05:40,"10","72064035",sovereign_ch,"5755216",,,"55",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326523386,way/326523386,contact_line,"0","1000",AAR,narrow_gauge,,"1",,"750",2019/04/14 12:54:09,"4","69201543",Jonathan Masur,"2965963",,,,,,,,,siding,,,,,,,,,,,,,,,,,,,,,,
way/326532781,way/326532781,contact_line,"0","1000",AVA,narrow_gauge,,,,"750",2019/07/09 17:05:40,"8","72064035",sovereign_ch,"5755216",,,,,,,,"2",siding,,,,,,,,,,,,,,,,,,,,,,
way/326537191,way/326537191,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:40,"9","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326543591,way/326543591,contact_line,"0","1000",AAR,narrow_gauge,,,,"750",2019/04/14 12:54:09,"3","69201543",Jonathan Masur,"2965963",,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,
way/326543594,way/326543594,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:40,"8","72064035",sovereign_ch,"5755216",,,,,,,,"1",,,,ME,,,,,,,,,,,,,,,,,,,
way/326703679,way/326703679,contact_line,"0","1000",AVA,narrow_gauge,,,branch,"750",2019/07/09 17:05:40,"7","72064035",sovereign_ch,"5755216",,,"25",,,,,"13",,,,,,,,,,,,,,,,,,,,,,,
way/326703680,way/326703680,contact_line,"0","1000",AAR,narrow_gauge,,,,"750",2019/04/14 12:54:10,"3","69201543",Jonathan Masur,"2965963",,,,,,,,,yard,,,,,,,,,,,,,,,,,,,,,,
way/326703681,way/326703681,contact_line,"0","1000",AAR,narrow_gauge,,"1",branch,"750",2019/04/14 12:54:10,"6","69201543",Jonathan Masur,"2965963",,,"25",,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326728768,way/326728768,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/326728771,way/326728771,contact_line,"0","1000",AVA,narrow_gauge,,"1",branch,"750",2019/07/09 17:05:40,"6","72064035",sovereign_ch,"5755216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
